schoolid,schoolname,calendaryear,sprfactotal,sprftfactotal,sprftfacother,spradminfactotal,sprptfactotal,fallfactotal,fallftfactotal,fallftfacother,falladminfactotal,fallptfactotal,sprfacmen,sprftfacmen,sprotherftfacmen,spradminfacmen,sprptfacmen,fallfacmen,fallftfacmen,fallotherftfacmen,falladminfacmen,fallptfacmen,sprfacwomen,sprftfacwomen,sprotherftfacwomen,spradminfacwomen,sprptfacwomen,fallfacwomen,fallftfacwomen,fallotherftfacwomen,falladminfacwomen,fallptfacwomen,fallfacother,sprfacother,fallfacminority,sprfacminority,fallftfacminority,sprftfacminority,fallotherftfacminority,sprotherftfacminority,falladminfacother,spradminfacother,falladminfacminority,spradminfacminority,fallptfacminority,sprptfacminority,fallptfacother,sprptfacother
00110800,University of Arkansas-Fayetteville,2012,64,23,2,11,28,61,23,3,12,23,37,13,0,5,19,32,11,2,6,13,27,10,2,6,9,29,12,1,6,10,,,6,4,4,3,0,0,,,1,1,1,0,,
00110800,University of Arkansas-Fayetteville,2013,70,24,2,13,31,56,26,2,14,14,38,12,2,5,19,29,13,1,5,10,32,12,0,8,12,27,13,1,9,4,,,8,8,6,5,0,0,,,1,1,1,2,,
00110800,University of Arkansas-Fayetteville,2014,64,26,,14,24,53,26,,14,13,34,12,,5,17,28,14,,5,9,30,14,,9,7,25,12,,9,4,0,0,9,5,8,4,,,0,0,1,1,0,0,0,0
00110800,University of Arkansas-Fayetteville,2015,73,30,0,14,29,56,29,0,13,14,38,15,,5,18,28,14,,4,10,35,15,,9,11,28,15,,9,4,0,0,9,9,7,7,,,0,0,1,1,1,1,0,0
00110800,University of Arkansas-Fayetteville,2016,67,27,0,12,28,56,26,0,13,17,30,12,,3,15,27,11,,3,13,37,15,,9,13,29,15,,10,4,0,0,10,10,8,8,,,0,0,1,1,1,1,0,0
00116453,Chapman University,2011,94,49,0,5,40,78,44,0,5,29,64,26,0,3,35,52,24,0,3,25,30,23,0,2,5,26,20,0,2,4,,,7,6,6,5,0,0,,,0,0,1,1,,
00116453,Chapman University,2012,80,42,0,6,32,84,40,1,6,37,53,23,0,3,27,60,23,0,3,34,27,19,0,3,5,24,17,1,3,3,,,6,6,4,4,0,0,,,1,1,1,1,,
00116453,Chapman University,2013,81,36,3,5,37,88,39,2,5,42,58,22,0,3,33,63,22,1,3,37,23,14,3,2,4,25,17,1,2,5,,,5,7,3,4,0,0,,,1,1,1,2,,
00116453,Chapman University,2014,88,43,,4,41,88,41,,5,42,62,24,,3,35,65,23,,4,38,26,19,,1,6,23,18,,1,4,0,0,8,9,5,5,,,0,0,1,1,2,3,0,0
00116453,Chapman University,2015,88,41,0,4,43,82,40,0,5,37,60,23,,3,34,57,23,,4,30,28,18,,1,9,25,17,,1,7,0,0,7,8,4,5,,,0,0,1,1,2,2,0,0
00116453,Chapman University,2016,105,37,0,11,57,81,35,0,7,39,72,20,,8,44,57,20,,6,31,33,17,,3,13,24,15,,1,8,0,0,8,8,4,5,,,0,0,1,1,3,2,0,0
00120529,Golden Gate University,2011,141,36,2,8,95,119,36,3,7,73,75,20,0,2,53,57,19,0,3,35,66,16,2,6,42,62,17,3,4,38,,,24,20,9,9,0,0,,,1,0,14,11,,
00120529,Golden Gate University,2012,131,34,2,8,87,123,30,1,8,84,68,17,0,2,49,57,14,0,2,41,63,17,2,6,38,66,16,1,6,43,,,28,21,6,7,0,0,,,0,0,22,14,,
00120529,Golden Gate University,2013,119,32,1,13,73,100,27,3,8,62,59,15,0,4,40,48,15,0,3,30,60,17,1,9,33,52,12,3,5,32,,,23,24,7,6,0,0,,,1,2,15,16,,
00120529,Golden Gate University,2014,107,27,,13,67,103,25,,12,66,45,10,,4,31,54,12,,4,38,62,17,,9,36,49,13,,8,28,0,0,23,23,5,4,,,0,0,4,5,14,14,0,0
00120529,Golden Gate University,2015,109,28,0,11,70,86,25,0,10,51,51,14,,4,33,47,12,,3,32,58,14,,7,37,39,13,,7,19,0,0,20,24,6,6,,,0,0,4,5,10,13,0,0
00120529,Golden Gate University,2016,103,28,0,9,66,85,23,0,11,51,45,13,,3,29,38,11,,3,24,58,15,,6,37,47,12,,8,27,0,0,19,22,7,8,,,0,0,4,4,8,10,0,0
00121601,University of La Verne,2011,66,19,0,8,39,54,19,0,5,30,37,9,0,5,23,36,8,0,5,23,29,10,0,3,16,18,11,0,0,7,,,12,15,6,7,0,0,,,2,3,4,5,,
00121601,University of La Verne,2012,46,15,1,4,26,28,8,1,6,13,31,8,1,1,21,16,5,1,1,9,15,7,0,3,5,12,3,0,5,4,,,8,10,0,2,1,1,,,4,3,3,4,,
00121601,University of La Verne,2013,34,9,2,3,20,31,8,3,6,14,21,5,2,1,13,20,5,2,3,10,13,4,0,2,7,11,3,1,3,4,,,10,9,2,0,2,1,,,3,2,3,6,,
00121601,University of La Verne,2014,30,11,,7,12,30,8,,7,15,19,7,,4,8,22,7,,4,11,11,4,,3,4,8,1,,3,4,0,0,10,8,2,3,,,0,0,4,4,4,1,0,0
00121601,University of La Verne,2015,35,9,0,8,18,30,10,0,8,12,25,8,,4,13,22,8,,4,10,10,1,,4,5,8,2,,4,2,0,0,7,13,2,2,,,0,0,4,4,1,7,0,0
00121601,University of La Verne,2016,39,9,0,12,18,37,9,0,8,20,27,8,,8,11,26,7,,5,14,12,1,,4,7,11,2,,3,6,0,0,12,11,2,1,,,0,0,4,7,6,3,0,0
00129500,Southwestern Law School,2011,119,56,4,10,49,99,56,4,10,29,68,30,2,4,32,60,31,2,4,23,51,26,2,6,17,39,25,2,6,6,,,20,26,13,14,1,1,,,1,1,5,10,,
00129500,Southwestern Law School,2012,113,51,6,9,47,100,57,3,8,32,65,31,0,4,30,55,29,1,3,22,48,20,6,5,17,45,28,2,5,10,,,23,24,14,11,1,4,,,1,1,7,8,,
00129500,Southwestern Law School,2013,125,56,5,7,57,97,52,7,10,28,70,31,1,3,35,59,32,2,3,22,55,25,4,4,22,38,20,5,7,6,,,25,27,12,12,2,3,,,2,1,9,11,,
00129500,Southwestern Law School,2014,131,60,,10,61,93,57,,10,26,80,34,,3,43,56,33,,2,21,51,26,,7,18,37,24,,8,5,0,0,24,25,14,16,,,0,0,1,1,9,8,0,0
00129500,Southwestern Law School,2015,138,57,0,8,73,98,56,0,6,36,78,32,,1,45,58,31,,1,26,60,25,,7,28,40,25,,5,10,0,0,23,35,13,15,,,0,0,0,0,10,20,0,0
00129500,Southwestern Law School,2016,130,53,0,8,69,93,51,0,6,36,72,31,,1,40,54,27,,2,25,58,22,,7,29,39,24,,4,11,0,0,25,37,11,13,,,0,0,1,0,13,24,0,0
00130503,Stanford University,2011,152,62,8,16,66,109,59,6,16,28,94,40,1,10,43,72,39,2,10,21,58,22,7,6,23,37,20,4,6,7,,,15,23,8,10,2,2,,,2,3,3,8,,
00130503,Stanford University,2012,147,65,7,19,56,111,60,6,14,31,95,44,4,11,36,69,39,4,5,21,52,21,3,8,20,42,21,2,9,10,,,19,19,10,9,3,2,,,3,3,3,5,,
00130503,Stanford University,2013,159,70,20,15,54,121,62,19,17,23,89,47,7,6,29,72,43,8,6,15,70,23,13,9,25,49,19,11,11,8,,,22,29,10,11,4,4,,,6,5,2,9,,
00130503,Stanford University,2014,150,76,,18,56,127,90,,18,19,96,51,,6,39,74,54,,6,14,54,25,,12,17,53,36,,12,5,0,0,24,26,14,13,,,0,0,6,6,4,7,0,0
00130503,Stanford University,2015,146,86,0,27,33,164,91,0,27,46,89,53,,11,25,102,57,,11,34,57,33,,16,8,62,34,,16,12,0,0,24,27,14,13,,,0,0,6,6,4,8,0,0
00130503,Stanford University,2016,161,86,0,36,39,170,88,0,36,46,94,52,,14,28,100,53,,18,29,67,34,,22,11,70,35,,18,17,0,0,26,30,16,14,,,0,0,6,7,4,9,0,0
00131273,University of California-Berkeley,2011,175,66,17,6,86,140,62,18,5,55,109,45,5,2,57,85,39,7,2,37,66,21,12,4,29,55,23,11,3,18,,,22,24,14,14,0,0,,,1,1,7,9,,
00131273,University of California-Berkeley,2012,176,60,20,12,84,159,63,21,11,64,97,38,6,5,48,96,42,9,5,40,79,22,14,7,36,63,21,12,6,24,,,28,28,15,14,1,1,,,2,2,10,11,,
00131273,University of California-Berkeley,2013,198,59,17,14,108,160,55,17,11,77,111,38,5,7,61,89,33,5,6,45,87,21,12,7,47,71,22,12,5,32,,,22,34,11,13,0,0,,,1,2,10,19,,
00131273,University of California-Berkeley,2014,169,66,,13,90,156,72,,9,75,96,35,,8,53,93,41,,8,44,73,31,,5,37,63,31,,1,31,0,0,26,30,13,14,,,0,0,1,1,12,15,0,0
00131273,University of California-Berkeley,2015,176,79,0,10,87,170,68,0,9,93,108,47,,7,54,100,41,,5,54,68,32,,3,33,70,27,,4,39,0,0,24,33,13,17,,,0,0,0,1,11,15,0,0
00131273,University of California-Berkeley,2016,179,73,0,10,96,187,72,0,12,103,104,41,,5,58,103,38,,6,59,75,32,,5,38,84,34,,6,44,0,0,31,34,15,21,,,0,0,2,0,14,13,0,0
00131373,University of California-Davis,2011,80,46,1,8,25,72,46,0,9,17,48,27,0,3,18,41,26,0,3,12,32,19,1,5,7,31,20,0,6,5,,,26,24,18,16,0,0,,,5,4,3,4,,
00131373,University of California-Davis,2012,83,47,1,9,26,74,46,0,9,19,50,28,0,3,19,44,28,0,3,13,33,19,1,6,7,30,18,0,6,6,,,23,25,17,18,0,0,,,5,5,1,2,,
