schoolid,schoolname,calendaryear,ftrestuition,ptrestuition,ftnonrestuition,ptnonrestuition,tuitionguarind,oncampuscosts,offcampuscosts,athomecosts,schooltype
00132500,University of San Francisco,2011,40544,28945,40544,28945,N,21824,20660,10060,PRI
00132500,University of San Francisco,2012,42364,31757,42364,31757,N,23024,22760,11960,PRI
00132500,University of San Francisco,2013,44260,33122,44260,33122,N,25244,24980,14160,PRI
00132500,University of San Francisco,2014,45542,32465,45542,32465,N,27800,29760,16260,PRI
00132500,University of San Francisco,2015,46860,35117,46860,35117,N,28778,30328,16828,PRI
00132500,University of San Francisco,2016,48220,36167,48220,36167,N,30778,31518,17318,PRI
00132500,University of San Francisco,2017,49130,36902,49130,36902,N,30787,31937,17387,PRI
00132600,Santa Clara University,2011,41790,29254,41790,29254,N,21956,21956,21956,PRI
00132600,Santa Clara University,2012,43680,30576,43680,30576,N,22580,22580,22580,PRI
00132600,Santa Clara University,2013,45000,31500,45000,31500,N,23170,23170,23170,PRI
00132600,Santa Clara University,2014,47040,32968,47040,32968,N,23280,23280,23280,PRI
00132600,Santa Clara University,2015,48690,34083,48690,34083,N,23974,23974,23974,PRI
00132600,Santa Clara University,2016,50640,35448,50640,35448,N,24416,24416,24416,PRI
00132600,Santa Clara University,2017,48916,36687,48916,36687,N,25844,25844,25844,PRI
00132800,University of Southern California,2011,50591,,50591,,N,21915,21915,11115,PRI
00132800,University of Southern California,2012,52598,,52598,,N,23394,23394,12594,PRI
00132800,University of Southern California,2013,55023,,55023,,N,23572,23572,12772,PRI
00132800,University of Southern California,2014,57507,,57507,,N,24092,24092,13374,PRI
00132800,University of Southern California,2015,58022,,58022,,N,22710,22710,11910,PRI
00132800,University of Southern California,2016,60339,,60339,,N,22978,22978,12178,PRI
00132800,University of Southern California,2017,62711,,62711,,N,23194,23194,12394,PRI
00132901,McGeorge School of Law,2011,41393,27533,41393,27533,N,21014,21014,21014,PRI
