schoolid,schoolname,calendaryear,academicyear,condscholind,numenteringcondschol,numeliminatedcondschol,numstudents,ftnumstudents,ptnumstudents,totalrecvgrant,totalrecvgrantp,ftrecvgrant,ptrecvgrant,totalgrantlthalf,totalgrantlthalfp,ftgrantlthalf,ptgrantlthalf,totalgrantalhalf,totalgrantalhalfp,ftgrantalhalf,ptgrantalhalf,totalgrantfull,totalgrantfullp,ftgrantfull,ptgrantfull,totalgrantgtfull,totalgrantgtfullp,ftgrantgtfull,ptgrantgtfull,ftgrantamt75,ptgrantamt75,ftgrantamtmedian,ptgrantamtmedian,ftgrantamt25,ptgrantamt25
00116453,Chapman University,2011,2010,,,,574,546,28,213,37.1,213,0,69,12,69,0,43,7.5,43,0,67,11.7,67,0,34,5.9,34,0,,,35794,0,,
00116453,Chapman University,2012,2011,Y,107,60,532,506,26,212,39.8,207,5,84,15.8,81,3,43,8.1,43,0,37,7,35,2,48,9,48,0,41460,33000,37314,20730,20730,9900
00116453,Chapman University,2013,2012,Y,98,51,508,480,28,329,64.8,316,13,144,28.3,137,7,129,25.4,124,5,0,0,0,0,56,11,55,1,43120,35320,30184,17160,5000,5000
00116453,Chapman University,2014,2013,Y,135,70,444,422,22,377,84.9,365,12,211,47.5,204,7,70,15.8,70,0,64,14.4,60,4,32,7.2,31,1,44414,35400,26707,20515,5100,3540
00116453,Chapman University,2015,2014,Y,112,39,473,444,29,274,57.9,255,19,100,21.1,88,12,84,17.8,82,2,71,15,69,2,19,4,16,3,46300,29472,37040,5000,18520,3684
00116453,Chapman University,2016,2015,Y,106,54,467,436,31,265,56.7,252,13,56,12,55,1,101,21.6,92,9,73,15.6,71,2,35,7.5,34,1,48150,38220,38520,34560,24075,22132
00116453,Chapman University,2017,2016,Y,109,47,479,453,26,274,57.2,257,17,67,14,63,4,88,18.4,81,7,83,17.3,79,4,36,7.5,34,2,50076,35964,40061,31968,25038,20030
00120529,Golden Gate University,2011,2010,,,,732,616,116,343,46.9,301,42,199,27.2,175,24,113,15.4,99,14,31,4.2,27,4,0,0,0,0,,,15000,10000,,
00120529,Golden Gate University,2012,2011,Y,86,43,684,568,116,264,38.6,233,31,178,26,158,20,61,8.9,54,7,25,3.7,21,4,0,0,0,0,25000,17000,12020,8000,10000,7000
00120529,Golden Gate University,2013,2012,Y,146,83,670,543,127,328,49,276,52,227,33.9,193,34,74,11,61,13,27,4,22,5,0,0,0,0,25000,20000,12500,10000,10000,7000
00120529,Golden Gate University,2014,2013,Y,104,68,535,336,199,268,50.1,222,46,186,34.8,156,30,56,10.5,47,9,25,4.7,18,7,1,0.2,1,0,25000,20000,15000,10000,10000,7000
00120529,Golden Gate University,2015,2014,Y,97,59,449,301,148,264,58.8,217,47,147,32.7,124,23,92,20.5,74,18,25,5.6,19,6,0,0,0,0,30000,23000,20000,15572,8000,9500
00120529,Golden Gate University,2016,2015,Y,106,61,348,254,94,212,60.9,163,49,114,32.8,91,23,66,19,53,13,32,9.2,19,13,0,0,0,0,30000,25000,20000,18000,10000,10000
00120529,Golden Gate University,2017,2016,Y,87,50,355,261,94,242,68.2,183,59,104,29.3,77,27,74,20.8,60,14,62,17.5,44,18,2,0.6,2,0,41000,35200,27015,20000,10000,8000
00121601,University of La Verne,2011,2010,,,,426,312,114,377,88.5,276,101,230,54,156,74,136,31.9,113,23,11,2.6,7,4,0,0,0,0,,,16500,8250,,
00121601,University of La Verne,2012,2011,Y,22,7,274,181,93,265,96.7,177,88,164,59.9,101,63,92,33.6,70,22,9,3.3,6,3,0,0,0,0,30000,19430,16750,14430,15900,14430
00121601,University of La Verne,2013,2012,Y,36,15,188,122,66,162,86.2,113,49,87,46.3,61,26,60,31.9,45,15,15,8,7,8,0,0,0,0,29950,22126,16680,12750,9408,5876
00121601,University of La Verne,2014,2013,Y,0,0,144,101,43,137,95.1,97,40,76,52.8,55,21,41,28.5,28,13,20,13.9,14,6,0,0,0,0,26500,19750,10250,12938,7000,6660
00121601,University of La Verne,2015,2014,N,,,149,106,43,44,29.5,23,21,23,15.4,13,10,19,12.8,8,11,2,1.3,2,0,0,0,0,0,9613,6927,13600,14899,25000,19600
00121601,University of La Verne,2016,2015,N,,,194,138,56,18,9.3,10,8,10,5.2,6,4,4,2.1,1,3,4,2.1,3,1,0,0,0,0,21875,13307,10100,9449,7100,3315
00121601,University of La Verne,2017,2016,N,,,239,176,63,33,13.8,9,24,32,13.4,8,24,0,0,0,0,1,0.4,1,0,0,0,0,0,2400,2400,2400,2400,2317,2400
00129500,Southwestern Law School,2011,2010,,,,1095,741,354,373,34.1,284,89,143,13.1,96,47,145,13.2,120,25,49,4.5,48,1,36,3.3,20,16,,,16861,10800,,
00129500,Southwestern Law School,2012,2011,Y,45,5,1121,738,383,353,31.5,267,86,147,13.1,95,52,132,11.8,115,17,39,3.5,32,7,35,3.1,25,10,30075,20525,20000,10800,11138,2700
