schoolid,schoolname,calendaryear,transin,transout,transout1l,transjd1gpa75,transjd1gpa50,transjd1gpa25
00141706,University of Connecticut,2014,14,3,,3.36,3.23,2.98
00141706,University of Connecticut,2015,4,11,,,,
00141706,University of Connecticut,2016,9,10,,,3.26,
00141706,University of Connecticut,2017,2,,6,0,0,0
00142600,Yale University,2011,8,0,,,,
00142600,Yale University,2012,10,0,,,,
00142600,Yale University,2013,13,0,,,,
00142600,Yale University,2014,15,0,,4.01,3.87,3.77
00142600,Yale University,2015,14,0,,3.98,3.89,3.83
00142600,Yale University,2016,9,0,,,4.05,
00142600,Yale University,2017,8,,0,0,0,0
00143401,American University,2011,53,50,,,,
00143401,American University,2012,49,57,,,,
00143401,American University,2013,68,89,,,,
00143401,American University,2014,44,106,,3.25,2.94,2.78
00143401,American University,2015,33,77,,3.04,2.89,2.74
00143401,American University,2016,31,93,,3.17,2.99,2.81
00143401,American University,2017,26,,60,3.22,3.09,2.88
00143711,Catholic University of America,2011,5,33,,,,
00143711,Catholic University of America,2012,8,54,,,,
00143711,Catholic University of America,2013,8,23,,,,
00143711,Catholic University of America,2014,6,27,,,2.84,
00143711,Catholic University of America,2015,4,23,,,,
00143711,Catholic University of America,2016,1,19,,,,
00143711,Catholic University of America,2017,1,,10,0,0,0
00144102,District of Columbia,2011,8,15,,,,
00144102,District of Columbia,2012,4,7,,,,
00144102,District of Columbia,2013,5,12,,,,
00144102,District of Columbia,2014,6,12,,,2.34,
00144102,District of Columbia,2015,4,9,,,,
00144102,District of Columbia,2016,8,12,,,2.19,
00144102,District of Columbia,2017,2,,14,0,0,0
00144402,George Washington University,2011,104,10,,,,
00144402,George Washington University,2012,63,17,,,,
00144402,George Washington University,2013,93,22,,,,
00144402,George Washington University,2014,97,20,,3.51,3.35,3.21
00144402,George Washington University,2015,109,38,,3.46,3.32,3.15
00144402,George Washington University,2016,106,32,,3.45,3.26,3.14
00144402,George Washington University,2017,67,,37,3.13,3.33,3.44
00144503,Georgetown University,2011,71,8,,,,
00144503,Georgetown University,2012,85,10,,,,
00144503,Georgetown University,2013,122,7,,,,
00144503,Georgetown University,2014,113,8,,3.77,3.67,3.55
00144503,Georgetown University,2015,110,14,,3.77,3.66,3.59
00144503,Georgetown University,2016,111,11,,3.76,3.63,3.54
00144503,Georgetown University,2017,105,,3,3.73,3.64,3.56
00144802,Howard University,2011,1,7,,,,
00144802,Howard University,2012,1,7,,,,
00144802,Howard University,2013,5,4,,,,
00144802,Howard University,2014,3,4,,,,
00144802,Howard University,2015,1,3,,,,
00144802,Howard University,2016,1,4,,,,
00144802,Howard University,2017,1,,0,0,0,0
00146601,Barry University,2011,6,28,,,,
00146601,Barry University,2012,9,21,,,,
00146601,Barry University,2013,21,27,,,,
00146601,Barry University,2014,12,30,,2.65,2.41,2.17
00146601,Barry University,2015,6,38,,,2.43,
00146601,Barry University,2016,7,34,,,2.55,
00146601,Barry University,2017,7,,16,0,0,0
00146800,St. Thomas University (Florida),2011,4,12,,,,
00146800,St. Thomas University (Florida),2012,8,9,,,,
00146800,St. Thomas University (Florida),2013,3,22,,,,
00146800,St. Thomas University (Florida),2014,11,14,,,2.54,
00146800,St. Thomas University (Florida),2015,10,33,,,2.61,
00146800,St. Thomas University (Florida),2016,11,6,,,2.63,
00146800,St. Thomas University (Florida),2017,9,,17,0,0,0
00148001,Florida A&M University,2011,0,9,,,,
00148001,Florida A&M University,2012,2,37,,,,
00148001,Florida A&M University,2013,0,21,,,,
00148001,Florida A&M University,2014,3,10,,,,
00148001,Florida A&M University,2015,14,10,,2.97,2.61,2.35
00148001,Florida A&M University,2016,4,6,,,,
00148001,Florida A&M University,2017,4,,9,0,0,0
00148900,Florida State University,2011,57,8,,,,
00148900,Florida State University,2012,89,8,,,,
00148900,Florida State University,2013,90,6,,,,
00148900,Florida State University,2014,31,6,,3.29,3.1,2.9
00148900,Florida State University,2015,32,4,,3.32,3.14,2.96
00148900,Florida State University,2016,30,6,,3.33,3.22,3.01
00148900,Florida State University,2017,18,,4,3.55,3.34,3.18
00150900,Nova Southeastern University,2011,8,55,,,,
00150900,Nova Southeastern University,2012,6,25,,,,
00150900,Nova Southeastern University,2013,2,35,,,,
00150900,Nova Southeastern University,2014,3,41,,,,
00150900,Nova Southeastern University,2015,1,12,,,,
00150900,Nova Southeastern University,2016,3,18,,,,
00150900,Nova Southeastern University,2017,17,,17,2.91,2.72,2.55
00153101,Stetson University,2011,16,15,,,,
00153101,Stetson University,2012,13,29,,,,
00153101,Stetson University,2013,19,18,,,,
00153101,Stetson University,2014,18,10,,3.27,3.07,2.95
00153101,Stetson University,2015,9,4,,,2.8,
00153101,Stetson University,2016,15,8,,3.06,2.89,2.81
00153101,Stetson University,2017,11,,12,0,0,0
00153505,University of Florida,2011,0,4,,,,
00153505,University of Florida,2012,37,2,,,,
00153505,University of Florida,2013,33,6,,,,
00153505,University of Florida,2014,25,8,,3.51,3.28,3.07
00153505,University of Florida,2015,25,3,,3.65,3.5,3.31
00153505,University of Florida,2016,39,10,,3.44,3.29,3.09
00153505,University of Florida,2017,31,,5,3.57,3.4,3.17
