schoolid,schoolname,calendaryear,mainopeid,schoolcity,schoolstate,schoolzipcode,termtype,schooltype,schoolstatus
00173700,Northern Illinois University,2017,00173700,Dekalb,IL,60115,SEM,PUB,Active
00173900,Northwestern University,2017,00173900,Chicago,IL,606112428,SEM,PRI,Active
00175800,Southern Illinois University-Carbondale,2017,00175800,Carbondale,IL,62901,SEM,PUB,Active
00177400,University of Chicago,2017,00177400,Chicago,IL,60637,QTR,PRI,Active
00177500,University of Illinois,2017,00177500,Champaign,IL,61820,SEM,PUB,Active
00180500,Indiana Tech Law School,2017,00180500,Fort Wayne,IN,46803,SEM,PRI,InActive
00180900,Indiana University - Bloomington,2017,00180900,Bloomington,IN,47405,SEM,PUB,Active
00181300,Indiana University - Indianapolis,2017,00181300,Indianapolis,IN,46202,SEM,PUB,Active
00184000,University of Notre Dame,2017,00184000,Notre Dame,IN,46556,SEM,PRI,Active
00184200,Valparaiso University,2017,00184200,Valparaiso,IN,46383,SEM,PRI,Active
00186000,Drake University,2017,00186000,Des Moines,IA,50311,SEM,PRI,Active
00189200,University of Iowa,2017,00189200,Iowa City,IA,522421113,SEM,PUB,Active
00194800,University of Kansas,2017,00194800,Lawrence,KS,66045,SEM,PUB,Active
00194900,Washburn University,2017,00194900,Topeka,KS,66621,SEM,PUB,Active
00198903,University of Kentucky,2017,00198900,Lexington,KY,40506,SEM,PUB,Active
00199900,University of Louisville,2017,00199900,Louisville,KY,40292,SEM,PUB,Active
00201000,Louisiana State University,2017,00201000,Baton Rouge,LA,70803,SEM,PUB,Active
00201600,Loyola University-New Orleans,2017,00201600,New Orleans,LA,70118,SEM,PRI,Active
00202500,Southern University,2017,00202500,Baton Rouge,LA,70813,SEM,PUB,Active
00202900,Tulane University,2017,00202900,New Orleans,LA,70118,SEM,PRI,Active
00205400,University of Maine,2017,00205400,Portland,ME,04102,SEM,PUB,Active
00210200,University of Baltimore,2017,00210200,Baltimore,MD,21201,SEM,PUB,Active
00210400,University of Maryland,2017,00210400,Baltimore,MD,21201,SEM,PUB,Active
00212801,Boston College,2017,00212800,Newton,MA,02459,SEM,PRI,Active
00213007,Boston University,2017,00213000,Boston,MA,02215,SEM,PRI,Active
00215510,Harvard University,2017,00215500,Cambridge,MA,02138,SEM,PRI,Active
00219900,Northeastern University,2017,00219900,Boston,MA,02115,QTR,PRI,Active
00221007,University of Massachusetts Dartmouth,2017,00221000,North Dartmouth,MA,02747,SEM,PUB,Active
00221810,Suffolk University,2017,00221800,Boston,MA,02108,SEM,PRI,Active
00222600,Western New England University,2017,00222600,Springfield,MA,01119,SEM,PRI,Active
00225400,Michigan State University,2017,00225400,East Lansing,MI,48824,SEM,PRI,Active
00232300,University of Detroit Mercy,2017,00232300,Detroit,MI,48226,SEM,PRI,Active
00232503,University of Michigan,2017,00232500,Ann Arbor,MI,48109,SEM,PUB,Active
00232902,Wayne State University,2017,00232900,Detroit,MI,48202,SEM,PUB,Active
00234500,University of St. Thomas (Minnesota),2017,00234500,St. Paul,MN,55403,SEM,PRI,Active
00235401,Hamline University,2017,00235400,St. Paul,MN,55104,SEM,PRI,InActive
00239100,William Mitchell College of Law,2017,00239100,St. Paul,MN,55105,SEM,PRI,InActive
00239101,Mitchell Hamline School of Law,2017,00239100,St. Paul,MN,55105,SEM,PRI,Active
00241501,Mississippi College,2017,00241500,Jackson,MS,39201,SEM,PRI,Active
00244000,University of Mississippi,2017,00244000,University,MS,38677,SEM,PUB,Active
00250609,Saint Louis University,2017,00250600,St. Louis,MO,63108,SEM,PRI,Active
00251600,University of Missouri,2017,00251600,Columbia,MO,65211,SEM,PUB,Active
00251800,University of Missouri-Kansas City,2017,00251800,Kansas City,MO,64110,SEM,PUB,Active
00252000,Washington University,2017,00252000,St. Louis,MO,63130,SEM,PRI,Active
00253600,University of Montana,2017,00253600,Missoula,MT,59812,SEM,PUB,Active
00254200,Creighton University,2017,00254200,Omaha,NE,68178,SEM,PRI,Active
00256500,University of Nebraska,2017,00256500,Lincoln,NE,68583,SEM,PUB,Active
00256900,University of Nevada - Las Vegas,2017,00256900,Las Vegas,NV,89154,SEM,PUB,Active
00258903,University of New Hampshire,2017,02097900,Concord,NH,03301,SEM,PUB,Active
00262900,Rutgers University,2017,00262900,New Brunswick,NJ,089011281 ,SEM,PUB,Active
00262901,Rutgers University-Camden,2017,00262900,Camden,NJ,08102,SEM,PUB,InActive
00262902,Rutgers University-Newark,2017,00262900,Newark,NJ,07102,SEM,PUB,InActive
00263201,Seton Hall University,2017,00263200,Newark,NJ,07101,SEM,PRI,Active
00266300,University of New Mexico,2017,00266300,Albuquerque,NM,87131,SEM,PUB,Active
00267700,Brooklyn Law School,2017,00267700,Brooklyn,NY,11201,SEM,PRI,Active
00270711,Columbia University,2017,00270700,New York,NY,10027,SEM,PRI,Active
00271101,Cornell University,2017,00271100,Ithaca,NY,14853,SEM,PRI,Active
00272203,Fordham University,2017,00272200,Bronx,NY,10023,SEM,PRI,Active
00273200,Hofstra University,2017,00273200,Hempstead,NY,115491260,SEM,PRI,Active
00278300,New York Law School,2017,00278300,New York,NY,10013,SEM,PRI,Active
00278500,New York University,2017,00278500,New York,NY,10012,SEM,PRI,Active
00279102,Pace University,2017,00279100,White Plains,NY,10603,SEM,PRI,Active
00282300,St. John's University,2017,00282300,Jamaica,NY,11439,SEM,PRI,Active
00283700,University of Buffalo-SUNY,2017,00283700,Buffalo,NY,14260,SEM,PUB,Active
00288200,Syracuse University,2017,00288200,Syracuse,NY,13244,SEM,PRI,Active
00288600,Albany Law School of Union University,2017,00288600,Albany,NY,12208,SEM,PRI,Active
00290301,Cardozo School of Law,2017,00290300,New York,NY,10003,SEM,PRI,Active
00291300,Campbell University,2017,00291300,Raleigh,NC,27603,SEM,PRI,Active
00292002,Duke University,2017,00292000,Durham,NC,27708,SEM,PRI,Active
00292701,Elon University,2017,00292700,Greensboro,NC,27401,SEM,PRI,Active
00295000,North Carolina Central University,2017,00295000,Durham,NC,27707,SEM,PUB,Active
00297400,University of North Carolina,2017,00297400,Chapel Hill,NC,27599,SEM,PUB,Active
00297805,Wake Forest University,2017,00297800,Winston-Salem,NC,27109,SEM,PRI,Active
00300500,University of North Dakota,2017,00300500,Grand Forks,ND,58202,SEM,PUB,Active
00302302,Capital University,2017,00302300,Columbus,OH,43215,SEM,PRI,Active
00302400,Case Western Reserve University,2017,00302400,Cleveland,OH,44106,SEM,PRI,Active
00303200,Cleveland State University,2017,00303200,Cleveland,OH,441152214,SEM,PUB,Active
00308900,Ohio Northern University,2017,00308900,Ada,OH,45810,SEM,PRI,Active
00309000,Ohio State University,2017,00309000,Columbus,OH,43210,SEM,PUB,Active
00312300,University of Akron,2017,00312300,Akron,OH,443252901,SEM,PUB,Active
00312500,University of Cincinnati,2017,00312500,Cincinnati,OH,45221,SEM,PUB,Active
00312700,University of Dayton,2017,00312700,Dayton,OH,454692772,SEM,PRI,Active
00313100,University of Toledo,2017,00313100,Toledo,OH,43606,SEM,PUB,Active
00316614,Oklahoma City University,2017,00316600,Oklahoma City,OK,73106,SEM,PRI,Active
00318400,University of Oklahoma,2017,00318400,Norman,OK,73019,SEM,PUB,Active
00318500,University of Tulsa,2017,00318500,Tulsa,OK,74104,SEM,PRI,Active
00319100,Concordia Law School,2017,00319100,Boise,ID,83702,SEM,PRI,Active
00319700,Lewis and Clark College,2017,00319700,Portland,OR,97219,SEM,PRI,Active
00322300,University of Oregon,2017,00322300,Eugene,OR,97403,SEM,PUB,Active
00322700,Willamette University,2017,00322700,Salem,OR,97301,SEM,PRI,Active
00325600,Drexel University,2017,00325600,Philadelphia,PA,19104,SEM,PRI,Active
00325800,Duquesne University,2017,00325800,Pittsburgh,PA,15282,SEM,PRI,Active
00331301,Widener University-Delaware,2017,00331300,Wilmington,DE,19803,SEM,PRI,Active
00331302,Widener Commonwealth,2017,00331300,Harrisburg,PA,171069381,SEM,PRI,Active
00332900,Pennsylvania State University-Penn State Law,2017,00332900,University Park,PA,168021503,SEM,PUB,Active
00332922,Pennsylvania State University,2017,00332922,University Park,PA,16802-1017,SEM,PUB,InActive
00332923,Pennsylvania State University-Dickinson School of Law,2017,00332900,Carlisle,PA,170132861,SEM,PUB,Active
00337101,Temple University,2017,00337100,Philadelphia,PA,19122,SEM,PUB,Active
00337800,University of Pennsylvania,2017,00337800,Philadelphia,PA,19104,SEM,PRI,Active
00337900,University of Pittsburgh,2017,00337900,Pittsburgh,PA,15260,SEM,PUB,Active
00338801,Villanova University,2017,00338800,Villanova,PA,19085,SEM,PRI,Active
00341001,Roger Williams University,2017,00341000,Bristol,RI,02809,SEM,PRI,Active
00344800,University of South Carolina,2017,00344800,Columbia,SC,29208,SEM,PUB,Active
00347400,University of South Dakota,2017,00347400,Vermillion,SD,57069,SEM,PUB,Active
00347900,Belmont University,2017,00347900,Nashville,TN,37212,SEM,PRI,Active
00350200,Lincoln Memorial University,2017,00350200,Knoxville,TN,379022003,SEM,PRI,Active
00350900,University of Memphis,2017,00350900,Memphis,TN,38103,SEM,PUB,Active
00353000,University of Tennessee,2017,00353000,Knoxville,TN,37916,SEM,PUB,Active
00353500,Vanderbilt University,2017,00353500,Nashville,TN,372031181,SEM,PRI,Active
00354500,Baylor University,2017,00354500,Waco,TX,76706,QTR,PRI,Active
00361300,Southern Methodist University,2017,00361300,Dallas,TX,75275,SEM,PRI,Active
00362300,St. Mary's University,2017,00362300,San Antonio,TX,78228,SEM,PRI,Active
00364200,Texas Southern University,2017,00364200,Houston,TX,77004,SEM,PUB,Active
00364400,Texas Tech University,2017,00364400,Lubbock,TX,79409,SEM,PUB,Active
00364500,Texas A&M University,2017,00364500,Fort Worth,TX,76102,SEM,PUB,Active
00365200,University of Houston,2017,00365200,Houston,TX,77204,SEM,PUB,Active
00365800,University of Texas at Austin,2017,00365800,Austin,TX,78705,SEM,PUB,Active
00367000,Brigham Young University,2017,00367000,Provo,UT,84602,SEM,PRI,Active
00367500,University of Utah,2017,00367500,Salt Lake City,UT,84112,SEM,PUB,Active
00370500,William and Mary Law School,2017,00370500,Williamsburg,VA,23185,SEM,PUB,Active
00374400,University of Richmond,2017,00374400,Richmond,VA,23173,SEM,PRI,Active
00374500,University of Virginia,2017,00374500,Charlottesville,VA,22903,SEM,PUB,Active
00374900,George Mason University,2017,00374900,Arlington,VA,22201,SEM,PUB,Active
00376800,Washington and Lee University,2017,00376800,Lexington,VA,24450,SEM,PRI,Active
00377800,Gonzaga University,2017,00377800,Spokane,WA,99220,SEM,PRI,Active
00379001,Seattle University,2017,00379000,Seattle,WA,98122,SEM,PRI,Active
00379800,University of Washington,2017,00379800,Seattle,WA,98195,QTR,PUB,Active
00382700,West Virginia University,2017,00382700,Morgantown,WV,26506,SEM,PUB,Active
00386300,Marquette University,2017,00386300,Milwaukee,WI,53201,SEM,PRI,Active
