mae_linear_ortho,mae_linear_dr,mae_forest_dr,mae_x_leaner,mae_s_leaner,mae_t_leaner,incremental,causal_forest,bart,mea_knn,linear_regression,mea_tmle,incremental_con
2.56,2.21,1.83,0.01,0.9,0.08,0.0009918950918823555,0.8547857834516668,0.06380845104066513,0.09765420184522622,0.4046647653091089,0.24581408817357708,0.021091170712215224
2.48,1.82,2.11,0.04,1.89,0.11,0.0009997123081344483,0.4325679845923558,0.2672107635385914,0.17110620643016183,0.22374692000575536,0.1130105650734059,0.049919628051917186
2.34,2.28,2.33,0.02,1.75,0.07,0.10303013095606728,0.3249156692243167,0.09447277027613454,0.014564133129283618,0.015128860060952043,0.012239696673902678,0.0498972661047965
8.68,4.18,4.25,0.59,1.5,0.23,0.0009951548406839095,4.01590155204787,5.252882496269111,0.8914771975348401,5.285017460709735,0.7981874772347517,0.04960587272774575
2.0,1.7,1.72,0.01,1.19,0.11,0.01584068743108924,0.2547409446536082,0.14176578058650158,0.07051232113078099,0.043765590312795144,0.024477741981504764,0.04993391583802431
2.57,1.91,2.17,0.03,1.37,0.05,0.04310007325503351,0.21301067283646447,0.1332566941372182,0.005778640040108307,0.054445932676461695,0.008867161808537638,0.04993747843132068
4.59,2.23,2.72,0.08,2.03,0.09,0.0009906409973785557,1.2822807024817067,1.9538945724780512,0.3115397967603295,2.129686202201433,0.4844874113357891,0.04984037600581548
2.32,1.83,1.93,0.05,1.33,0.0,0.04810380007966275,0.14859024723412695,0.11298222751589115,0.041549074203043546,0.01212269079713657,0.023353874102825856,0.04409098417304014
2.17,1.61,1.76,0.04,1.38,0.08,0.0009990768651202409,0.11243746857360426,0.013961999352935628,0.056250025683727944,0.1318257522184081,0.06357809840611894,0.04991707838775028
2.4,1.5,2.0,0.01,0.69,0.0,0.11191409962974097,0.03144616245182874,0.08928857447086491,0.17559344813954647,0.03370487079594664,0.018848307740770842,0.04994319292899396
2.25,1.76,2.07,0.1,0.84,0.07,0.2045744143362045,0.01724214381726652,0.16225202890861867,0.015892830202397068,0.05850657922246594,0.16381001299940667,0.04994120094262877
3.49,3.36,2.54,0.25,1.6,0.1,0.0009979116055136572,0.6743110815583622,0.7314376271473817,0.0010512226236496502,0.926641933742129,0.15703580173692444,0.04984405461492969
2.53,2.47,1.7,0.18,1.72,0.2,0.22499383786605787,0.013365623844959984,0.28189666107449485,0.3211926139639458,0.24579739537363476,0.1855047494975275,0.04988893189543653
